3102
412	1 22	1 24	1 18	1 16	0.07155525
413	1 24	1 26	1 18	1 16	0.03520295
414	1 26	1 28	1 18	1 16	0.01720355
415	1 28	1 30	1 18	1 16	0.009186179999999999
416	1 30	1 32	1 18	1 16	0.005333485
417	1 32	1 34	1 18	1 16	0.0039059100000000003
418	1 21	1 24	1 18	1 15	0.21226899999999999
419	1 24	1 27	1 18	1 15	0.0579056
420	1 27	1 30	1 18	1 15	0.02217245
421	1 30	1 33	1 18	1 15	0.010096665
422	1 33	1 36	1 18	1 15	0.00704125
423	1 36	1 39	1 18	1 15	0.003017705
424	1 39	1 242	1 18	1 15	0.002444945
425	1 22	1 26	1 18	1 14	0.15642899999999998
426	1 26	1 30	1 18	1 14	0.042071
427	1 30	1 34	1 18	1 14	0.0155256
428	1 34	1 38	1 18	1 14	0.008300084999999999
429	1 38	1 242	1 18	1 14	0.00442694
430	1 242	1 52	1 18	1 14	0.0034951649999999997
431	1 52	1 56	1 18	1 14	0.0024049199999999996
432	1 20	1 21	1 19	1 18	0.7074294999999999
433	1 21	1 22	1 19	1 18	0.1551815
434	1 22	1 23	1 19	1 18	0.0510597
435	1 23	1 24	1 19	1 18	0.02945505
436	1 24	1 25	1 19	1 18	0.020517800000000003
437	1 25	1 26	1 19	1 18	0.0118805
438	1 26	1 27	1 19	1 18	0.008166575
439	1 21	1 23	1 19	1 17	0.292405
440	1 23	1 25	1 19	1 17	0.0771663
441	1 25	1 27	1 19	1 17	0.03262425
442	1 27	1 29	1 19	1 17	0.01641805
443	1 29	1 31	1 19	1 17	0.00895016
444	1 31	1 33	1 19	1 17	0.0049502899999999996
445	1 33	1 35	1 19	1 17	0.0043250400000000005
446	1 22	1 25	1 19	1 16	0.1940605
447	1 25	1 28	1 19	1 16	0.05687805
448	1 28	1 31	1 19	1 16	0.021087099999999998
449	1 31	1 34	1 19	1 16	0.010444700000000001
450	1 34	1 37	1 19	1 16	0.0066922249999999996
451	1 37	1 40	1 19	1 16	0.00311454
452	1 40	1 49	1 19	1 16	0.002919895
453	1 23	1 27	1 19	1 15	0.16430650000000002
454	1 27	1 31	1 19	1 15	0.041021699999999994
455	1 31	1 35	1 19	1 15	0.016658
456	1 35	1 39	1 19	1 15	0.00703213
457	1 39	1 49	1 19	1 15	0.0049015050000000004
458	1 49	1 53	1 19	1 15	0.0033003299999999998
459	1 53	1 57	1 19	1 15	0.0022266300000000003
460	1 21	1 22	1 20	1 19	0.632806
461	1 22	1 23	1 20	1 19	0.1142485
462	1 23	1 24	1 20	1 19	0.0545296
463	1 24	1 25	1 20	1 19	0.0324733
464	1 25	1 26	1 20	1 19	0.01832065
465	1 26	1 27	1 20	1 19	0.0118631
466	1 27	1 28	1 20	1 19	0.00815425
467	1 22	1 24	1 20	1 18	0.24925
468	1 24	1 26	1 20	1 18	0.08352780000000001
469	1 26	1 28	1 20	1 18	0.0339505
470	1 28	1 30	1 20	1 18	0.0160524
471	1 30	1 32	1 20	1 18	0.008425105
472	1 32	1 34	1 20	1 18	0.005972025000000001
473	1 34	1 36	1 20	1 18	0.004567135
474	1 23	1 26	1 20	1 17	0.2023055
475	1 26	1 29	1 20	1 17	0.054731550000000004
476	1 29	1 32	1 20	1 17	0.02010435
477	1 32	1 35	1 20	1 17	0.0112014
478	1 35	1 38	1 20	1 17	0.005151545
479	1 38	1 241	1 20	1 17	0.0033385949999999998
480	1 241	1 50	1 20	1 17	0.0029676750000000003
481	1 24	1 28	1 20	1 16	0.1694315
482	1 28	1 32	1 20	1 16	0.0390555
483	1 32	1 36	1 20	1 16	0.01707825
484	1 36	1 40	1 20	1 16	0.006478070000000001
485	1 40	1 50	1 20	1 16	0.005163755
486	1 50	1 54	1 20	1 16	0.0032530700000000003
487	1 54	1 58	1 20	1 16	0.00231937
488	1 22	1 23	1 21	1 20	0.580679
489	1 23	1 24	1 21	1 20	0.148035
490	1 24	1 25	1 21	1 20	0.06949685
491	1 25	1 26	1 21	1 20	0.034305
492	1 26	1 27	1 21	1 20	0.0231982
493	1 27	1 28	1 21	1 20	0.0132294
494	1 28	1 29	1 21	1 20	0.008175229999999999
495	1 23	1 25	1 21	1 19	0.304996
496	1 25	1 27	1 21	1 19	0.0875917
497	1 27	1 29	1 21	1 19	0.035106700000000005
498	1 29	1 31	1 21	1 19	0.016312100000000003
499	1 31	1 33	1 21	1 19	0.009246775
500	1 33	1 35	1 21	1 19	0.006288895
501	1 35	1 37	1 21	1 19	0.004053095
502	1 24	1 27	1 21	1 18	0.23014
503	1 27	1 30	1 21	1 18	0.057267700000000005
504	1 30	1 33	1 21	1 18	0.021239
505	1 33	1 36	1 21	1 18	0.01202435
506	1 36	1 39	1 21	1 18	0.00507618
507	1 39	1 242	1 21	1 18	0.00379888
508	1 242	1 51	1 21	1 18	0.003271195
509	1 25	1 29	1 21	1 17	0.171841
510	1 29	1 33	1 21	1 17	0.03954805
511	1 33	1 37	1 21	1 17	0.01697355
512	1 37	1 241	1 21	1 17	0.007156775
513	1 241	1 51	1 21	1 17	0.0056064949999999995
514	1 51	1 55	1 21	1 17	0.003297365
515	1 55	1 59	1 21	1 17	0.002513345
516	1 23	1 24	1 22	1 21	0.7691205
517	1 24	1 25	1 22	1 21	0.22610449999999999
518	1 25	1 26	1 22	1 21	0.0934555
519	1 26	1 27	1 22	1 21	0.0469808
520	1 27	1 28	1 22	1 21	0.02811835
521	1 28	1 29	1 22	1 21	0.01532755
522	1 29	1 30	1 22	1 21	0.0101455
523	1 24	1 26	1 22	1 20	0.4231995
524	1 26	1 28	1 22	1 20	0.1119075
525	1 28	1 30	1 22	1 20	0.03928455
526	1 30	1 32	1 22	1 20	0.0175538
527	1 32	1 34	1 22	1 20	0.0103035
528	1 34	1 36	1 22	1 20	0.006993145
529	1 36	1 38	1 22	1 20	0.00331084
530	1 25	1 28	1 22	1 19	0.277772
531	1 28	1 31	1 22	1 19	0.06110525
532	1 31	1 34	1 22	1 19	0.0226061
533	1 34	1 37	1 22	1 19	0.01193185
534	1 37	1 40	1 22	1 19	0.00510626
535	1 40	1 49	1 22	1 19	0.00444231
536	1 49	1 52	1 22	1 19	0.002904925
537	1 26	1 30	1 22	1 18	0.2008915
538	1 30	1 34	1 22	1 18	0.04209085
539	1 34	1 38	1 22	1 18	0.0168205
540	1 38	1 242	1 22	1 18	0.007591645
541	1 242	1 52	1 22	1 18	0.005561315000000001
542	1 52	1 56	1 22	1 18	0.003489715
543	1 56	1 60	1 22	1 18	0.0027721300000000003
544	1 24	1 25	1 23	1 22	0.754413
545	1 25	1 26	1 23	1 22	0.2147285
546	1 26	1 27	1 23	1 22	0.09578225
547	1 27	1 28	1 23	1 22	0.050835649999999996
548	1 28	1 29	1 23	1 22	0.02542375
549	1 29	1 30	1 23	1 22	0.015668849999999998
550	1 30	1 31	1 23	1 22	0.009162765
551	1 25	1 27	1 23	1 21	0.450682
552	1 27	1 29	1 23	1 21	0.119511
553	1 29	1 31	1 23	1 21	0.04092575
554	1 31	1 33	1 23	1 21	0.017936149999999998
555	1 33	1 35	1 23	1 21	0.011471100000000001
556	1 35	1 37	1 23	1 21	0.005184865
557	1 37	1 39	1 23	1 21	0.00291323
558	1 26	1 29	1 23	1 20	0.3070255
559	1 29	1 32	1 23	1 20	0.06409965000000001
560	1 32	1 35	1 23	1 20	0.02521875
561	1 35	1 38	1 23	1 20	0.009905649999999998
562	1 38	1 241	1 23	1 20	0.00542589
563	1 241	1 50	1 23	1 20	0.004631735
564	1 50	1 53	1 23	1 20	0.00289492
565	1 27	1 31	1 23	1 19	0.2117735
