19806
266	1 9	1 1	1 73	1 81	0.000169351	0.00981793492284784
267	1 10	1 9	1 11	1 12	0.3200805	0.07089879982555208
268	1 10	1 9	1 12	1 13	0.07849985000000001	0.005868720594429545
269	1 10	1 9	1 13	1 14	0.03833385	0.004469568190142403
270	1 10	1 9	1 14	1 15	0.019186250000000002	0.015137421299692293
271	1 10	1 9	1 15	1 16	0.00812844	0.007471868500031124
272	1 10	1 9	1 16	1 17	0.007009474999999999	0.010088431086517143
273	1 10	1 9	1 17	1 18	0.004711475	0.008429166773165778
274	1 10	1 9	1 18	1 19	0.0030850749999999996	0.006027831430734042
275	1 10	1 8	1 12	1 14	0.1710835	0.009101361327920754
276	1 10	1 8	1 14	1 16	0.04324245	0.00847059633944962
277	1 10	1 8	1 16	1 18	0.019433850000000003	0.006592656791494627
278	1 10	1 8	1 18	1 20	0.009170979999999999	0.004312617680749576
279	1 10	1 8	1 20	1 22	0.004847815	0.003636117303051875
280	1 10	1 7	1 13	1 16	0.122361	0.0067759114000235585
281	1 10	1 7	1 16	1 19	0.0316575	0.006083396206559772
282	1 10	1 7	1 19	1 22	0.011356600000000001	0.0042411209496132
283	1 10	1 7	1 22	1 25	0.00403205	0.002727658449579634
284	1 10	1 7	1 25	1 28	0.00196935	0.0036754780147898953
285	1 10	1 7	1 28	1 31	0.001136185	0.0037196475751464357
286	1 10	1 7	1 31	1 34	0.0010798600000000002	0.004086815382584157
287	1 10	1 7	1 34	1 37	0.0006282460000000001	0.004606729693025722
288	1 10	1 6	1 14	1 18	0.08809565	0.00824748462772615
289	1 10	1 6	1 18	1 22	0.021387549999999998	0.004031124612677765
290	1 10	1 6	1 22	1 26	0.004593855	0.002834269821185128
291	1 10	1 6	1 30	1 34	0.001615755	0.004050936853680886
292	1 10	1 6	1 34	1 38	0.0009942305000000002	0.004400992290391709
293	1 10	1 6	1 38	1 42	0.000597716	0.0036999229397873174
294	1 10	1 6	1 42	1 46	0.0004000945	0.00474699301442934
295	1 10	1 5	1 15	1 20	0.06744715000000001	0.005902922069906626
296	1 10	1 5	1 20	1 25	0.01425505	0.0030796625726325464
297	1 10	1 5	1 25	1 30	0.00462949	0.003268840222989871
298	1 10	1 5	1 30	1 35	0.0020224149999999996	0.004160384114865117
299	1 10	1 5	1 35	1 40	0.00122437	0.003923492544666852
300	1 10	1 5	1 40	1 45	0.0007312315	0.004304962873462439
301	1 10	1 5	1 45	1 50	0.000421093	0.00513049466779094
302	1 10	1 5	1 50	1 55	0.00028993849999999995	0.005497649733806788
303	1 10	1 4	1 16	1 22	0.06036325	0.006003188267047297
304	1 10	1 4	1 22	1 28	0.009585380000000001	0.0029854232547630545
